,0
GODT_MODEL_DENSITY_GODT,847.3
GODT_MODEL_T50,296.99843
GODT_MODEL_T95,350.0
GODT:TI11021,300.420563
GODT:FC13015A,0.0
GODT:FC13014A,44983.75
GODT:PI12015,7.21456861
GODT:FC13001,140.5625
GODT:FI13008,41123.2969
GODT:PI12119B,0.4369789
LIMS:ONPZ.21-10%252F3M.T_5_6_VYHOD_21_10_3M.D15,0.8587
GODT:FC13033A,10.2468042
